"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
2017-09-12,"118","113","128","64","96","107","66","156","92","129"
2017-09-13,"121","117","117","116","101","138","118","129","134","94"
2017-09-14,"230","145","161","61","117","143","165","192","177","122"
2017-09-15,"153","128","128","68","93","83","73","131","140","88"
2017-09-16,"83","76","119","42","53","71","93","90","83","87"
2017-09-17,"72","78","79","52","59","88","185","125","100","83"
2017-09-18,"74","88","105","84","112","101","193","181","99","97"
2017-09-19,"57","89","94","77","68","84","162","155","96","104"
2017-09-20,"84","90","86","59","65","124","94","108","83","78"
2017-09-21,"102","98","104","73","95","115","84","128","136","91"
2017-09-22,"168","137","137","92","109","161","113","173","104","132"
2017-09-23,"99","113","116","69","78","107","112","186","84","127"
2017-09-24,"68","91","110","79","116","73","142","179","97","83"
2017-09-25,"48","83","85","73","47","84","68","89","89","81"
2017-09-26,"94","129","151","94","171","124","146","192","128","115"
2017-09-27,"95","91","102","99","112","99","113","131","89","77"
2017-09-28,"116","127","103","94","97","136","122","144","147","89"
2017-09-29,"90","89","143","63","107","87","99","109","97","78"
2017-09-30,"94","136","118","74","154","161","131","129","137","115"
2017-10-01,"65","85","64","62","120","90","302","121","63","55"
2017-10-02,"135","131","106","84","131","103","86","114","106","109"
2017-10-03,"64","65","59","63","58","63","91","133","50","67"
2017-10-04,"70","100","112","58","83","135","109","200","86","119"
2017-10-05,"88","118","82","81","89","113","73","114","107","96"
2017-10-06,"79","67","57","62","57","75","139","87","78","55"
2017-10-07,"84","43","44","41","43","67","65","99","51","61"
2017-10-08,"114","62","63","54","54","60","60","54","78","63"
2017-10-09,"117","120","85","65","198","107","90","97","135","87"
2017-10-10,"146","117","103","67","132","113","99","134","102","108"
2017-10-11,"60","48","67","59","88","80","53","82","57","68"
2017-10-12,"83","61","64","88","81","72","50","71","80","50"
2017-10-13,"93","64","76","66","93","71","55","87","79","62"
2017-10-14,"111","80","73","62","107","76","79","91","73","86"
2017-10-15,"63","80","72","49","109","89","64","117","74","89"
2017-10-16,"120","54","90","47","56","62","77","69","79","79"
2017-10-17,"56","74","79","42","68","70","65","115","69","76"
2017-10-18,"65","105","91","96","94","81","72","139","102","115"
2017-10-19,"140","109","73","70","61","99","82","229","86","129"
2017-10-20,"194","151","142","133","227","197","159","183","168","161"
2017-10-21,"162","102","128","75","158","94","84","119","123","77"
2017-10-22,"92","62","57","23","69","51","57","79","58","60"
2017-10-23,"106","82","70","71","54","97","76","84","83","72"
2017-10-24,"156","130","91","75","77","130","100","178","141","114"
2017-10-25,"114","97","72","80","64","137","154","163","95","97"
2017-10-26,"104","46","44","61","39","84","63","101","63","50"
2017-10-27,"86","58","57","41","60","49","74","64","65","40"
2017-10-28,"116","75","68","66","72","93","180","104","80","92"
2017-10-29,"55","33","34","21","30","36","76","46","39","32"
2017-10-30,"83","28","50","30","35","43","31","43","39","41"
2017-10-31,"113","69","75","64","87","71","59","106","102","67"
2017-11-01,"49","58","44","21","52","42","30","78","70","56"
2017-11-02,"186","164","125","95","322","166","164","228","160","175"
2017-11-03,"185","159","101","101","267","138","93","146","118","175"
2017-11-04,"140","102","78","71","128","89","110","129","96","83"
2017-11-05,"110","46","57","18","45","56","35","48","62","40"
2017-11-06,"104","81","52","48","64","75","72","117","55","84"
2017-11-07,"88","85","79","55","87","112","66","67","85","68"
2017-11-08,"153","141","93","70","202","132","102","150","137","109"
2017-11-09,"95","70","59","78","52","65","69","52","47","64"
2017-11-10,"93","97","107","58","72","104","115","165","112","105"
2017-11-11,"88","158","110","56","219","119","78","171","94","134"
2017-11-12,"119","205","122","86","312","165","151","169","169","172"
2017-11-13,"91","111","88","101","158","109","78","145","97","93"
2017-11-14,"61","94","88","102","108","81","122","157","86","111"
2017-11-15,"88","120","120","63","150","110","63","148","100","104"
2017-11-16,"59","105","102","58","141","90","136","134","74","109"
2017-11-17,"63","105","98","51","61","107","127","170","115","106"
2017-11-18,"69","44","70","34","74","46","60","47","82","48"
2017-11-19,"48","51","53","23","51","62","78","68","83","48"
2017-11-20,"83","137","71","54","94","111","75","129","90","82"
2017-11-21,"67","60","74","56","68","91","90","75","80","78"
