"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12","Topic13","Topic14","Topic15","Topic16","Topic17","Topic18","Topic19","Topic20","Topic21","Topic22","Topic23","Topic24","Topic25","Topic26","Topic27","Topic28","Topic29","Topic30","Topic31","Topic32","Topic33","Topic34","Topic35","Topic36","Topic37","Topic38","Topic39","Topic40","Topic41","Topic42","Topic43","Topic44","Topic45","Topic46","Topic47","Topic48","Topic49","Topic50","Topic51","Topic52","Topic53","Topic54","Topic55","Topic56","Topic57","Topic58","Topic59","Topic60","Topic61","Topic62","Topic63","Topic64","Topic65","Topic66","Topic67","Topic68","Topic69","Topic70","Topic71","Topic72","Topic73","Topic74","Topic75","Topic76","Topic77","Topic78","Topic79","Topic80","Topic81","Topic82","Topic83","Topic84","Topic85","Topic86","Topic87","Topic88","Topic89","Topic90","Topic91","Topic92","Topic93","Topic94","Topic95","Topic96","Topic97","Topic98","Topic99","Topic100"
2017-09-12,26,6,7,5,3,5,22,16,9,4,3,9,59,6,6,22,11,7,5,3,2,6,4,5,7,4,10,5,47,1,8,5,3,1,2,64,3,9,8,5,24,6,6,5,9,4,20,5,11,4,9,6,3,8,3,7,5,11,5,5,24,5,6,3,18,24,4,6,6,10,8,12,5,4,14,5,5,16,10,15,6,29,3,9,20,16,61,3,2,6,6,7,1,12,41,3,3,2,36,21
2017-09-13,17,5,5,6,1,3,16,10,5,8,4,2,58,3,5,25,23,7,8,5,5,11,5,5,5,16,3,6,36,7,15,9,9,8,6,57,2,11,6,6,29,9,7,8,3,7,43,13,4,5,24,6,10,5,7,5,7,20,4,4,30,2,6,9,28,22,5,7,9,8,10,8,1,4,37,7,4,26,6,21,3,28,3,4,30,16,31,6,4,4,2,10,5,14,38,13,14,6,34,20
2017-09-14,47,8,8,9,6,7,38,3,10,3,8,12,101,4,11,39,13,7,8,7,7,9,16,6,11,6,11,8,33,7,12,6,14,14,12,72,8,13,8,5,33,10,6,9,6,5,30,8,8,2,40,5,4,16,10,5,7,22,7,5,27,5,13,11,33,39,6,12,8,11,18,8,9,6,28,10,8,36,12,34,3,36,4,6,31,17,47,5,10,4,4,5,11,18,40,7,12,5,43,26
2017-09-15,45,3,3,11,2,7,19,9,8,6,4,4,65,4,9,27,10,3,7,4,6,5,5,1,11,4,5,13,27,2,6,3,7,10,5,41,4,18,7,8,43,5,4,4,7,3,28,13,8,7,13,6,6,6,7,3,6,10,4,4,24,6,6,9,22,19,6,1,6,6,6,13,6,7,21,3,4,28,6,13,6,22,3,6,16,12,37,4,4,9,12,7,5,14,28,6,7,4,36,25
2017-09-16,15,4,3,4,2,2,19,2,6,1,2,3,72,7,2,17,7,1,4,2,3,3,4,6,4,4,6,6,19,5,7,2,12,2,8,49,2,8,2,7,42,3,3,3,3,4,21,2,3,3,16,0,4,0,12,4,9,14,6,1,28,3,3,5,15,23,7,2,4,5,1,2,3,3,7,1,1,7,5,10,1,20,2,8,9,11,30,5,1,1,2,1,6,5,32,4,5,3,24,13
2017-09-17,10,5,4,8,9,3,16,1,3,3,1,0,57,17,1,11,9,8,5,4,3,6,5,2,3,1,10,5,25,3,8,8,3,2,3,33,1,11,8,4,31,6,7,2,1,5,15,2,2,5,56,15,2,21,3,8,6,20,4,3,11,4,13,2,24,20,6,7,4,1,6,6,3,4,17,3,6,16,6,15,0,16,2,23,15,23,25,1,5,3,10,9,7,6,16,4,3,3,28,20
2017-09-18,14,5,5,6,6,2,29,13,8,2,3,14,57,4,5,20,31,6,5,7,6,2,9,5,7,6,5,8,24,2,13,3,2,4,5,51,6,5,4,7,19,1,9,6,0,7,18,8,6,7,71,4,4,4,3,5,2,24,2,3,20,3,2,8,43,28,13,5,8,6,8,3,4,3,14,5,5,19,2,11,5,15,16,28,22,22,37,2,5,3,7,7,11,7,32,13,9,2,43,25
2017-09-19,5,3,4,4,4,2,17,10,9,0,3,6,40,6,10,17,22,4,1,9,3,4,5,2,2,3,3,11,18,2,5,5,12,5,4,35,2,2,7,4,31,3,4,7,3,5,15,2,4,8,63,6,3,6,3,3,6,19,2,1,15,4,4,6,20,23,2,3,3,3,4,21,1,8,21,12,4,16,11,30,0,21,28,23,11,23,43,11,2,7,4,3,4,13,22,9,5,2,28,14
2017-09-20,13,6,4,5,1,1,21,6,7,3,4,6,28,7,5,9,18,4,8,4,3,3,1,6,4,2,4,6,36,6,6,3,9,8,0,49,5,13,5,1,13,3,5,4,4,5,16,4,7,3,23,1,4,5,8,3,9,12,3,0,20,6,3,3,20,17,6,7,5,5,6,7,1,3,38,1,1,25,3,8,4,24,12,13,13,15,28,5,7,3,2,4,3,13,22,5,6,5,26,18
2017-09-21,12,0,7,4,3,6,32,22,5,10,4,14,54,6,6,25,15,6,5,7,1,8,3,2,3,2,7,6,28,5,8,3,3,6,5,45,3,12,1,6,39,5,5,5,4,1,26,9,3,0,17,2,3,5,6,3,5,21,13,2,26,4,4,5,15,24,6,8,5,10,7,10,1,6,32,6,8,17,9,19,6,24,4,10,26,5,27,5,0,6,10,3,7,11,28,5,4,4,36,15
