,dprice_MA_t_1,d2,d6,d8,d12,d17,d22,d23,d29,d36,d58,d66,d67,d69,d93,dprice_MA_t
2017/9/18,-96.8928,0,-1,12,14,22,-4,4,-1,18,4,8,7,4,4,-94.59518
2017/9/19,-94.59518,-2,0,-3,-8,-9,2,-4,-6,-16,-5,-5,-11,-5,-7,26.40908
2017/9/20,26.40908,3,-1,-4,0,-4,-1,-4,18,14,-7,-6,4,2,-1,124.75668
2017/9/21,124.75668,-6,5,16,8,-3,5,2,-8,-4,9,7,0,0,4,40.65928
2017/9/22,40.65928,3,3,-16,-6,10,4,5,23,17,1,7,0,3,-3,-20.94558
2017/9/23,-20.94558,2,-7,9,-5,-6,-7,-5,-17,-13,-1,0,-2,-2,3,-21.71164
2017/9/24,-21.71164,-1,4,14,-2,-7,-4,2,-17,-16,-12,-5,-1,1,-5,-63.38594
2017/9/25,-63.38594,1,0,-23,1,3,5,-1,10,-4,0,-6,-1,-2,4,-48.07454
2017/9/26,-48.07454,1,-1,43,1,7,-1,1,8,30,6,11,7,2,5,-7.00132
2017/9/27,-7.00132,-2,-2,-23,1,-1,-2,4,-7,-14,-1,-7,-5,-6,-9,50.28186
2017/9/28,50.28186,-4,5,-15,4,-2,4,4,9,4,5,5,-3,10,3,113.0105
2017/9/29,113.0105,0,-4,8,-5,-8,-2,-6,-26,-8,-6,-2,0,-1,-2,85.12044
2017/9/30,85.12044,7,-1,12,2,-4,1,3,34,25,18,10,2,1,7,98.10682
2017/10/1,98.10682,-6,0,-6,-2,7,-3,-10,-22,-38,-15,-23,3,-8,-6,78.56268
2017/10/2,78.56268,5,1,11,5,8,3,2,10,35,-6,13,1,9,2,90.08312
2017/10/3,90.08312,-4,2,-29,1,2,-1,11,-19,-21,2,-16,1,-7,-5,36.86576
2017/10/4,36.86576,1,-1,2,-5,-12,0,-6,34,-2,9,21,-5,1,9,18.2635
2017/10/5,18.2635,2,-3,0,1,-1,1,-4,-8,26,-13,-13,1,2,-3,6.32006
2017/10/6,6.32006,-1,2,1,-2,5,-2,7,-13,-36,4,4,-1,-2,-1,0.69672
2017/10/7,0.69672,-1,-2,-8,2,0,-2,-7,-15,-8,-6,-11,0,-4,-4,-3.02394
2017/10/8,-3.02394,-1,0,2,-3,-11,-1,-3,1,9,2,0,-2,6,2,-2.13844
2017/10/9,-2.13844,2,6,42,-1,16,2,3,14,15,13,8,5,1,6,61.79484
2017/10/10,61.79484,-2,-5,-19,7,-5,8,-1,8,4,0,5,-2,1,-5,110.55854
2017/10/11,110.55854,1,-1,9,-7,-5,-7,6,-16,-24,-12,-13,-4,1,2,88.68558
2017/10/12,88.68558,-1,-1,-19,1,10,2,-7,4,-6,-7,4,7,-6,-4,94.77648
2017/10/13,94.77648,2,0,-1,3,-1,1,1,-5,22,7,-5,-6,-2,-2,189.7878
2017/10/14,189.7878,2,4,15,-3,-7,-4,1,2,-5,1,10,1,1,4,192.30514
2017/10/15,192.30514,-5,2,1,-2,-2,2,4,4,-4,0,-6,0,1,-2,192.2942
2017/10/16,192.2942,-1,-4,-24,2,-1,-1,-4,0,-2,-4,0,0,-1,1,173.00634
2017/10/17,173.00634,7,2,9,3,-3,0,3,-8,1,2,3,0,1,2,178.34402
2017/10/18,178.34402,-4,-2,3,3,22,-2,-1,35,19,6,2,2,0,0,55.71646
2017/10/19,55.71646,0,5,-18,-2,-11,3,28,-25,-7,2,1,2,3,-1,-3.52608
2017/10/20,-3.52608,15,3,41,1,21,4,-22,21,39,6,9,1,-3,5,-2.36104
2017/10/21,-2.36104,-11,-6,11,-2,-17,-7,-5,-22,-32,-8,-4,-3,0,-4,66.42964
2017/10/22,66.42964,-2,-4,-36,-2,-15,-1,-4,-11,-16,-8,-17,-3,0,-4,61.83316
2017/10/23,61.83316,0,2,-17,1,17,3,0,8,2,5,6,1,-4,10,75.89432
2017/10/24,75.89432,2,5,1,6,-13,-1,4,28,18,4,17,2,2,-8,65.98074
2017/10/25,65.98074,-5,-4,-1,-6,12,2,4,-12,-24,-1,-13,3,1,1,-44.36116
2017/10/26,-44.36116,-1,-1,7,2,-6,-1,-7,-16,-4,-4,-7,-7,0,-3,-61.96746
2017/10/27,-61.96746,6,0,-1,-2,-4,-3,0,-5,-9,0,-6,1,-4,-1,-25.44664
