Date,DpriceMaT-1
2017/9/17,-96.8928
2017/9/18,-94.59518
2017/9/19,26.40908
2017/9/20,124.75668
2017/9/21,40.65928
2017/9/22,-20.94558
2017/9/23,-21.71164
2017/9/24,-63.38594
2017/9/25,-48.07454
2017/9/26,-7.00132
2017/9/27,50.28186
2017/9/28,113.0105
2017/9/29,85.12044
2017/9/30,98.10682
2017/10/1,78.56268
2017/10/2,90.08312
2017/10/3,36.86576
2017/10/4,18.2635
2017/10/5,6.32006
2017/10/6,0.69672
2017/10/7,-3.02394
2017/10/8,-2.13844
2017/10/9,61.79484
2017/10/10,110.55854
2017/10/11,88.68558
2017/10/12,94.77648
2017/10/13,189.7878
2017/10/14,192.30514
2017/10/15,192.2942
2017/10/16,173.00634
2017/10/17,178.34402
2017/10/18,55.71646
2017/10/19,-3.52608
2017/10/20,-2.36104
2017/10/21,66.42964
2017/10/22,61.83316
2017/10/23,75.89432
2017/10/24,65.98074
2017/10/25,-44.36116
2017/10/26,-61.96746
2017/10/27,-25.44664
2017/10/28,-42.1359
2017/10/29,-19.87656
2017/10/30,129.92128
2017/10/31,87.25036
2017/11/1,99.10136
2017/11/2,178.56034
2017/11/3,258.26462
2017/11/4,208.4572
2017/11/5,266.33382
2017/11/6,197.67346
2017/11/7,64.75302
2017/11/8,4.82146
2017/11/9,43.63166
2017/11/10,-55.90124
2017/11/11,-131.5229
2017/11/12,-125.24412
2017/11/13,-275.16514
2017/11/14,-173.13014
2017/11/15,-104.52488
2017/11/16,116.40642
2017/11/17,290.43594
2017/11/18,414.11658
2017/11/19,253.38258
2017/11/20,274.4483
2017/11/21,190.83338
2017/11/22,48.95386
2017/11/23,96.23012
2017/11/24,66.36192
2017/11/25,48.66484
2017/11/26,90.36208
2017/11/27,244.86874
2017/11/28,290.052
2017/11/29,360.71176
2017/11/30,325.67
2017/12/1,287.99296
2017/12/2,319.95366
2017/12/3,270.61466
2017/12/4,276.02264
2017/12/5,341.10034
2017/12/6,346.21226
2017/12/7,531.4136
2017/12/8,1086.12068
2017/12/9,934.96294
2017/12/10,711.60084
2017/12/11,598.27434
2017/12/12,644.22734
2017/12/13,154.88434
2017/12/14,160.186
2017/12/15,307.21156
2017/12/16,580.419
2017/12/17,547.31332
2017/12/18,402.67832
2017/12/19,430.698
2017/12/20,211.64394
2017/12/21,-349.12566
2017/12/22,-690.23466
2017/12/23,-819.768
2017/12/24,-720.319
2017/12/25,-757.58734
2017/12/26,-381.44868
2017/12/27,-9.69234
