id,created_at,text
1087286230985797633,2019-01-21 09:50:12,"Buckets that people store value in:

Gold: $8T
Stocks: $75T
Fiat: $90T
Real Estate: $220T

Then someone figured out how to make an Internet-native digital scarcity, thus:

Bitcoin: $60B

In a post-industrial Internet age, do we really think it'll remain a thimble not a bucket?"
1085434825752817664,2019-01-16 07:13:23,"RT @woonomic: @milancheck Try searching for ""NVT"" on TradingView. User ""gliderfund"" recently made an NVTS indicator. This one is free and w…"
1085434719607545856,2019-01-16 07:12:58,"@milancheck Try searching for ""NVT"" on TradingView. User ""gliderfund"" recently made an NVTS indicator. This one is free and works well (appears only on 1-day candles). 

PS. Anyone who wants to tip me, my TradingView affiliate link ;)...
https://t.co/qnPirxQmWB https://t.co/tOM6Rp9LeM"
1085430992783851520,2019-01-16 06:58:09,"PS: @writenolan is an unsung hero. It was his work that convinced the Canadian Prime Minster to engage in a study of Bitcoin in 2013, leading to @aantonop testifying to the Senate. This helped shape Canada's light touch policy on our burgeoning industry. https://t.co/MsQBSacjIG"
1085430991152246784,2019-01-16 06:58:09,"Join us in Austin,TX at this years #SXSW2019 for a featured talk on crypto-economics. Totally amped to be be on stage with @coindesk's Director of Research, @writenolan.

https://t.co/PUlBWsiuv8"
1084995605007523840,2019-01-15 02:08:05,"@mczochowski Self churn is filtered out with on-chain volume data. 

Here’s the full plot of what we are running volatility over. Blue line. 

https://t.co/EuEQZwijwS"
1084994452920229893,2019-01-15 02:03:30,"@mczochowski I set forth a first principle relationship between on-chain volume and price. 
https://t.co/jX7cO7Q8tK

Low bands of price volatility are areas of accumulation, esp bottoms. 

We move volatility to the on-chain volume domain to validate the exchange price action was real."
1084764366019284992,2019-01-14 10:49:13,"@sockcymbal Absolute std dev on BTC volumes, rather than %, is subject to drifting over 9yrs from changes in circulating supply (see on-chain volume / Bitcoin Momentum). So less signal. 

Std dev on USD volumes tracks BTCUSD (as price is the largest component of change).

Charts attached. https://t.co/WBlysFnN0d"
1084691539366998017,2019-01-14 05:59:50,"To balance out my pessimism, here's a summary to the bull side by @renato_shira. Many of our on-chain indicators suggest the bottom may be near. While I don't concur with this conclusion, I like the analysis, it's a good summary of the bull case.
https://t.co/Qp2A5OjebF"
1084691535697006592,2019-01-14 05:59:49,"Is the bottom in? Not yet.

In order for the bottom to be in, the volume of coins changing hands becomes steady, currently it's very erratic, synonymous with middle of the bear detox. (In this chart I'm tracking the volatility of on-chain volume). https://t.co/aVYI1Ortxh"
1084679833022578688,2019-01-14 05:13:19,"@renato_shira @MustStopMurad Hey what you call noise, is what I call shorter term signal :). 

Thanks for the post @renato_shira , though I don't agree with the conclusion, I liked the analysis, especially the fractal on inverse NVT."
1083751228897546243,2019-01-11 15:43:22,"RT @Delphi_Digital: 0/ Using UTXO age dynamics across market cycles, we attempt to time a price bottom for #Bitcoin by understanding when s…"
1083738263221764096,2019-01-11 14:51:51,"@andersmholmgren @bradmillscan @hosseeb If it’s stored. Even for a day, or a month, then it’s storage. Doesn’t matter what it it for. The time * value that is stored, that’s of interest. $1000 for 1 day = $1 stored for 1000 days."
1083678464245297152,2019-01-11 10:54:14,@bradmillscan @andersmholmgren @hosseeb It’s easy. If the value clears on chain into a wallet then it’s a sign that it’s being stored. The volume data for value on-chain is forensically filtered. Quick hops do not count in coinmetrics heuristics. This speculative arb traffic is mostly filtered away.
1083677257770557440,2019-01-11 10:49:26,"@happypuppy84 @Dashpay My chart is the breakdown of operators vs the % of votes they controlled. Data is directly from the person who you originally cited as supporting evidence for decentralisation. 

I leave you with your investment good sir, we can agree to disagree and I wish you the best with it."
1083674720824774656,2019-01-11 10:39:21,"RT @woonomic: @StrivingYogi @truthtracker_ Bitcoin is not a macro scale asset. It’s a tiny little cup to hold value, built from new technol…"
1083674640243806208,2019-01-11 10:39:02,"@StrivingYogi @truthtracker_ Bitcoin is not a macro scale asset. It’s a tiny little cup to hold value, built from new technology, with special properties, that is attracting participants, which is at the start of an adoption-S curve. Correlation to macro buckets therefore will be weak for some time to come."
1083600833718059010,2019-01-11 05:45:45,"@happypuppy84 @Dashpay I'm saying when incentive models allow for money to be made down certain paths, they will be taken. In the case of Dash, if you control enough nodes, your staking revenues (earned without electricity expenses) can fund a pump, which is more profitable than protecting the network."
1083599797280333826,2019-01-11 05:41:38,@happypuppy84 @Dashpay This is the exact voting data you cite. I put it on a chart. 20 voters control 75% of the vote. (I'm having a parallel discussion with him). https://t.co/snO5xtXu5t
1083599266495361025,2019-01-11 05:39:32,@happypuppy84 @Dashpay The voting data you cite is by a friend of mine. He mentions the centralisation of LTC for example is more than Dash - true from a macro chart. Here's the zoomed in visualisation of Dash. A tiny group of Dash MN operators get large 45% payouts; plenty enough to manipulate price. https://t.co/kgYhJfi13J
1083595711046766597,2019-01-11 05:25:24,"@happypuppy84 @Dashpay Here's a study I did last year. You can also see Chris Burniske chiming in with his study too. https://t.co/k6OFvz3DRN

We you pay 45% of the block reward to the hands of a few, they have the power to pump and dump the coin."
1083235153248276480,2019-01-10 05:32:40,"@TusharJain_ @BTCFisherman @mt_1466 @cburniske @arjunblj @nic__carter @VitalikButerin @MustStopMurad @derose @TuurDemeester @KyleSamani @QWQiao @Kalichkin @coinmetrics's heuristics is here: https://t.co/ZEuCwB59VY
(4hr filter would mean $1.4b would need to be risked in your hot wallet moving 6x per day to push NVT from normal to overbought). If they ever cycle back then the volume is ignored.

We can improve on this too."
1083196961702916097,2019-01-10 03:00:55,"@happypuppy84 @Dashpay The comment is around the lowered velocity which means for a given % of coins being sold the price will drop further (liquidity is less, therefore less ideal for SoV). But also happy to expand Dash criticism into its MN centralisation if you want me to."
1083194914324631552,2019-01-10 02:52:47,"@BTCFisherman @TusharJain_ @mt_1466 @cburniske @arjunblj @nic__carter @VitalikButerin @MustStopMurad @derose @TuurDemeester @KyleSamani @QWQiao @Kalichkin There's some misunderstanding on how hard NVT volume is to fake. Chain forensics is used to determine self payment from real payment. Further to that, the chain transmits $6m-$30m every 10min block, so it would not be a small whale doing this to have a meaningful impact."
1083166157463478272,2019-01-10 00:58:30,@happypuppy84 @Dashpay Masternodes earn a 45% stake of new coins minted. And control a further 10% via the DAO budget. Essentially holders are paid to continue to hold.
