Date,Price_Ma_t-1,Value
2017/9/17,3904.45864,3763.626
2017/9/18,3807.56584,3746.0608
2017/9/19,3712.97068,4093.3167
2017/9/20,3739.37976,3943.4133
2017/9/21,3864.13642,3977.5617
2017/9/22,3904.7957,3658.8982
2017/9/23,3883.85014,3637.5026
2017/9/24,3862.1385,3776.3869
2017/9/25,3798.75254,3703.0407
2017/9/26,3750.67802,3942.555
2017/9/27,3743.67668,3910.3074
2017/9/28,3793.95852,4202.555
2017/9/29,3906.969,4201.9891
2017/9/30,3992.08944,4193.5747
2017/10/1,4090.19624,4335.3683
2017/10/2,4168.7589,4360.723
2017/10/3,4258.84202,4386.8838
2017/10/4,4295.70778,4293.3066
2017/10/5,4313.97128,4225.175
2017/10/6,4320.29134,4338.852
2017/10/7,4320.98808,4345.6033
2017/10/8,4317.96414,4376.1917
2017/10/9,4315.82572,4602.2809
2017/10/10,4377.62058,4777.9678
2017/10/11,4488.17914,4782.28
2017/10/12,4576.86474,4819.4858
2017/10/13,4671.64124,5325.1307
2017/10/14,4861.42904,5563.8066
2017/10/15,5053.73418,5739.4387
2017/10/16,5246.02836,5647.3117
2017/10/17,5419.0347,5711.2059
2017/10/18,5597.37872,5603.7129
2017/10/19,5653.09516,5546.1761
2017/10/20,5649.56906,5727.6335
2017/10/21,5647.20802,5979.4598
2017/10/22,5713.63764,6020.3717
2017/10/23,5775.4708,5983.1846
2017/10/24,5851.36514,5876.0799
2017/10/25,5917.3459,5505.8278
2017/10/26,5872.98476,5669.6225
2017/10/27,5811.0173,5893.1384
2017/10/28,5785.57064,5772.505
2017/10/29,5743.43472,5776.697
2017/10/30,5723.55814,6155.434
2017/10/31,5853.47938,6105.8742
2017/11/1,5940.72972,6388.6452
2017/11/2,6039.83108,6665.3067
2017/11/3,6218.39142,7068.0201
2017/11/4,6476.65604,7197.7201
2017/11/5,6685.11326,7437.5433
2017/11/6,6951.44708,7377.0124
2017/11/7,7149.12052,6989.0717
2017/11/8,7213.87352,7092.1272
2017/11/9,7218.69494,7415.8783
2017/11/10,7262.32658,7158.0371
2017/11/11,7206.42534,6719.3979
2017/11/12,7074.90244,6362.851
2017/11/13,6949.6583,5716.3016
2017/11/14,6674.49318,6550.2275
2017/11/15,6501.36302,6635.4126
2017/11/16,6396.83812,7301.4299
2017/11/17,6513.24452,7815.0307
2017/11/18,6803.68046,7786.8844
2017/11/19,7217.79702,7817.1404
2017/11/20,7471.1796,8007.6541
2017/11/21,7745.6279,8255.5968
2017/11/22,7936.46128,8059.8
2017/11/23,7985.41514,8268.035
2017/11/24,8081.64526,8148.95
2017/11/25,8148.00718,8250.9783
2017/11/26,8196.67202,8707.4073
2017/11/27,8287.03412,9284.1438
2017/11/28,8531.90288,9718.2951
2017/11/29,8821.9549,9952.5088
2017/11/30,9182.66666,9879.3283
2017/12/1,9508.33666,10147.372
2017/12/2,9796.3296,10883.912
2017/12/3,10116.28324,11071.3683
2017/12/4,10386.89788,11332.622
2017/12/5,10662.92052,11584.83
2017/12/6,11004.02086,11878.4333
2017/12/7,11350.23312,13540.98
2017/12/8,11881.64672,16501.9717
2017/12/9,12967.7674,16007.4367
2017/12/10,13902.73034,15142.8342
2017/12/11,14614.33118,14869.805
2017/12/12,15212.60552,16762.1167
2017/12/13,15856.83286,17276.3933
2017/12/14,16011.71718,16808.3667
2017/12/15,16171.90318,16678.892
2017/12/16,16479.11474,17771.9
2017/12/17,17059.53374,19498.6833
2017/12/18,17606.84706,19289.785
2017/12/19,18009.5254,18961.8567
2017/12/20,18440.2234,17737.1117
2017/12/21,18651.86734,16026.2717
2017/12/22,18302.74168,16047.51
2017/12/23,17612.50702,15190.945
2017/12/24,16792.73902,15360.2617
2017/12/25,16072.42002,13949.175
2017/12/26,15314.83268,14119.0283
2017/12/27,14933.384,15999.0483
2017/12/28,14923.69166,15589.3217
2017/12/29,15003.367,14380.5817
2017/12/30,14807.431,14640.14
2017/12/31,14945.624,13215.574
2018/1/1,14764.93314,14165.575
2018/1/2,14398.23848,13812.1867
2018/1/3,14042.81148,15005.8567
2018/1/4,14167.86648,15053.2617
2018/1/5,14250.49082,15199.355
2018/1/6,14647.24702,17174.12
2018/1/7,15248.95602,17319.198
2018/1/8,15950.35828,16651.4717
2018/1/9,16279.48128,15265.9067
2018/1/10,16322.01028,14714.2533
2018/1/11,16224.98994,15126.3983
2018/1/12,15815.4456,13296.794
2018/1/13,15010.9648,13912.882
2018/1/14,14463.24686,14499.7733
2018/1/15,14310.02018,13852.92
2018/1/16,14137.75352,14012.196
2018/1/17,13914.91306,11180.9983
2018/1/18,13491.75392,11116.9467
2018/1/19,12932.56686,11345.4233
2018/1/20,12301.69686,11422.44
2018/1/21,11815.60086,12950.7933
2018/1/22,11603.32032,11505.228
2018/1/23,11668.16626,10544.5933
2018/1/24,11553.69558,11223.064
2018/1/25,11529.22372,11282.2583
2018/1/26,11501.18738,11214.44
2018/1/27,11153.91672,10969.815
2018/1/28,11046.83412,11524.7767
2018/1/29,11242.8708,11765.71
2018/1/30,11351.4,11212.655
2018/1/31,11337.47934,10184.0617
2018/2/1,11131.40368,10125.0133
2018/2/2,10962.44334,9083.2583
2018/2/3,10474.13966,8901.9017
2018/2/4,9901.378,9076.6783
2018/2/5,9474.18266,8400.6483
2018/2/6,9117.49998,6838.8167
2018/2/7,8460.26066,7685.6333
2018/2/8,8180.73566,8099.9583
2018/2/9,8020.34698,8240.5367
2018/2/10,7853.11866,8535.5167
2018/2/11,7880.09234,8319.8766
2018/2/12,8176.30432,8343.455
2018/2/13,8307.86866,8811.3433
2018/2/14,8450.14566,8597.7675
2018/2/15,8521.59182,9334.6333
2018/2/16,8681.41514,9977.154
2018/2/17,9012.87062,10127.1617
