Date,Topic2,Topic6,Topic8,Topic13,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,MA_PRICE,Price
12/9/17,6,5,16,59,11,6,4,47,64,11,24,4,6,1,0,4248.090017
13/9/17,5,3,10,58,23,11,5,36,57,20,22,5,9,5,0,4219.036617
14/9/17,8,7,3,101,13,9,16,33,72,22,39,6,8,11,0,3961.271267
15/9/17,3,7,9,65,10,5,5,27,41,10,19,6,6,5,0,3319.63
16/9/17,4,2,2,72,7,3,4,19,49,14,23,7,4,6,3904.458637,3774.265283
17/9/17,5,3,1,57,9,6,5,25,33,20,20,6,4,7,3807.565841,3763.62604
18/9/17,5,2,13,57,31,2,9,24,51,24,28,13,8,11,3712.970675,3746.060783
19/9/17,3,2,10,40,22,4,5,18,35,19,23,2,3,4,3739.379755,4093.316667
20/9/17,6,1,6,28,18,3,1,36,49,12,17,6,5,3,3864.136421,3943.413333
21/9/17,0,6,22,54,15,8,3,28,45,21,24,6,5,7,3904.795698,3977.561667
22/9/17,3,9,6,74,25,12,8,51,62,22,31,6,8,4,3883.850127,3658.898183
23/9/17,5,2,15,55,19,5,3,34,49,21,31,4,6,7,3862.13848,3637.50255
24/9/17,4,6,29,49,12,1,5,17,33,9,26,3,7,2,3798.752527,3776.3869
25/9/17,5,6,6,35,15,6,4,27,29,9,20,2,5,6,3750.67799,3703.04065
26/9/17,6,5,49,82,22,5,5,35,59,15,31,9,7,11,3743.676657,3942.555
27/9/17,4,3,26,46,21,3,9,28,45,14,24,4,1,2,3793.958497,3910.307383
28/9/17,0,8,11,66,19,7,13,37,49,19,29,1,11,5,3906.968983,4202.554983
29/9/17,0,4,19,69,11,5,7,11,41,13,27,1,10,3,3992.089413,4201.98905
30/9/17,7,3,31,59,7,6,10,45,66,31,37,3,11,10,4090.196217,4193.574667
1/10/17,1,3,25,35,14,3,0,23,28,16,14,6,3,4,4168.75888,4335.368317
2/10/17,6,4,36,63,22,6,2,33,63,10,27,7,12,6,4258.841997,4360.722967
3/10/17,2,6,7,37,24,5,13,14,42,12,11,8,5,1,4295.70775,4386.88375
4/10/17,3,5,9,63,12,5,7,48,40,21,32,3,6,10,4313.97126,4293.3066
5/10/17,5,2,9,50,11,6,3,40,66,8,19,4,8,7,4320.291327,4225.175
6/10/17,4,4,10,26,16,4,10,27,30,12,23,3,6,6,4320.988063,4338.852
7/10/17,3,2,2,32,16,2,3,12,22,6,12,3,2,2,4317.964137,4345.603333
8/10/17,2,2,4,43,5,1,0,13,31,8,12,1,8,4,4315.82572,4376.191667
9/10/17,4,8,46,55,21,3,3,27,46,21,20,6,9,10,4377.620577,4602.280883
10/10/17,2,3,27,61,16,11,2,35,50,21,25,4,10,5,4488.17914,4777.967817
