Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
12/9/17,6,5,16,59,6,6,4,47,64,11,24,4,6,9,,4248.09,8,20
13/9/17,5,3,10,58,3,11,5,36,57,20,22,5,9,5,,4219.0366,5,30
14/9/17,8,7,3,101,4,9,16,33,72,22,39,6,8,10,,3961.2713,16,31
15/9/17,3,7,9,65,4,5,5,27,41,10,19,6,6,8,,3319.63,6,16
16/9/17,4,2,2,72,7,3,4,19,49,14,23,7,4,6,3904.45864,3774.2653,0,9
17/9/17,5,3,1,57,17,6,5,25,33,20,20,6,4,3,3807.56584,3763.626,21,15
18/9/17,5,2,13,57,4,2,9,24,51,24,28,13,8,8,3712.97068,3746.0608,4,22
19/9/17,3,2,10,40,6,4,5,18,35,19,23,2,3,9,3739.37976,4093.3167,6,11
20/9/17,6,1,6,28,7,3,1,36,49,12,17,6,5,7,3864.13642,3943.4133,5,13
21/9/17,0,6,22,54,6,8,3,28,45,21,24,6,5,5,3904.7957,3977.5617,5,26
22/9/17,3,9,6,74,8,12,8,51,62,22,31,6,8,8,3883.85014,3658.8982,13,31
23/9/17,5,2,15,55,7,5,3,34,49,21,31,4,6,7,3862.1385,3637.5026,5,20
24/9/17,4,6,29,49,7,1,5,17,33,9,26,3,7,12,3798.75254,3776.3869,20,14
25/9/17,5,6,6,35,7,6,4,27,29,9,20,2,5,3,3750.67802,3703.0407,3,18
26/9/17,6,5,49,82,13,5,5,35,59,15,31,9,7,6,3743.67668,3942.555,5,20
27/9/17,4,3,26,46,6,3,9,28,45,14,24,4,1,10,3793.95852,3910.3074,3,22
28/9/17,0,8,11,66,6,7,13,37,49,19,29,1,11,6,3906.969,4202.555,12,14
29/9/17,0,4,19,69,7,5,7,11,41,13,27,1,10,5,3992.08944,4201.9891,9,16
30/9/17,7,3,31,59,10,6,10,45,66,31,37,3,11,5,4090.19624,4193.5747,14,25
1/10/17,1,3,25,35,7,3,0,23,28,16,14,6,3,5,4168.7589,4335.3683,3,9
2/10/17,6,4,36,63,4,6,2,33,63,10,27,7,12,7,4258.84202,4360.723,3,20
3/10/17,2,6,7,37,2,5,13,14,42,12,11,8,5,2,4295.70778,4386.8838,5,18
4/10/17,3,5,9,63,5,5,7,48,40,21,32,3,6,11,4313.97128,4293.3066,10,23
5/10/17,5,2,9,50,2,6,3,40,66,8,19,4,8,3,4320.29134,4225.175,2,18
6/10/17,4,4,10,26,7,4,10,27,30,12,23,3,6,4,4320.98808,4338.852,7,11
7/10/17,3,2,2,32,2,2,3,12,22,6,12,3,2,1,4317.96414,4345.6033,5,11
8/10/17,2,2,4,43,3,1,0,13,31,8,12,1,8,3,4315.82572,4376.1917,6,12
9/10/17,4,8,46,55,5,3,3,27,46,21,20,6,9,8,4377.62058,4602.2809,5,21
10/10/17,2,3,27,61,9,11,2,35,50,21,25,4,10,6,4488.17914,4777.9678,14,25
11/10/17,3,2,36,35,2,4,8,19,26,9,12,0,11,4,4576.86474,4782.28,4,15
12/10/17,2,1,17,36,4,6,1,23,20,2,16,7,5,5,4671.64124,4819.4858,3,20
13/10/17,4,1,16,39,1,7,2,18,42,9,11,1,3,7,4861.42904,5325.1307,6,14
14/10/17,6,5,31,45,5,3,3,20,37,10,21,2,4,9,5053.73418,5563.8066,3,17
15/10/17,1,7,32,45,2,5,7,24,33,10,15,2,5,4,5246.02836,5739.4387,4,18
16/10/17,0,3,8,27,1,4,3,24,31,6,15,2,4,4,5419.0347,5647.3117,6,19
17/10/17,7,5,17,37,4,4,6,16,32,8,18,2,5,1,5597.37872,5711.2059,10,10
18/10/17,3,3,20,40,8,2,5,51,51,14,20,4,5,6,5653.09516,5603.7129,4,25
19/10/17,3,8,2,50,5,5,33,26,44,16,21,6,8,10,5649.56906,5546.1761,5,21
20/10/17,18,11,43,84,8,9,11,47,83,22,30,7,5,9,5647.20802,5727.6335,10,35
21/10/17,7,5,54,62,5,2,6,25,51,14,26,4,5,9,5713.63764,5979.4598,2,28
22/10/17,5,1,18,32,4,1,2,14,35,6,9,1,5,3,5775.4708,6020.3717,5,17
23/10/17,5,3,1,38,13,4,2,22,37,11,15,2,1,8,5851.36514,5983.1846,3,20
24/10/17,7,8,2,55,1,3,6,50,55,15,32,4,3,10,5917.3459,5876.0799,4,24
25/10/17,2,4,1,59,9,5,10,38,31,14,19,7,4,4,5872.98476,5505.8278,10,15
26/10/17,1,3,8,35,3,4,3,22,27,10,12,0,4,0,5811.0173,5669.6225,4,10
27/10/17,7,3,7,31,8,1,3,17,18,10,6,1,0,2,5785.57064,5893.1384,5,12
28/10/17,6,2,2,33,1,1,7,33,41,13,14,3,5,7,5743.43472,5772.505,3,13
29/10/17,2,0,6,26,3,4,1,8,18,4,6,0,1,2,5723.55814,5776.697,2,6
30/10/17,1,4,2,13,0,2,2,12,15,9,9,3,0,1,5853.47938,6155.434,1,13
31/10/17,3,3,19,58,10,1,5,17,46,15,14,7,2,6,5940.72972,6105.8742,3,22
1/11/17,0,0,9,27,8,4,2,11,19,6,13,0,4,2,6039.83108,6388.6452,3,12
2/11/17,3,7,105,103,10,7,7,58,84,34,33,7,8,10,6218.39142,6665.3067,32,41
3/11/17,9,8,78,81,3,4,4,34,76,21,33,3,6,4,6476.65604,7068.0201,8,38
4/11/17,3,2,24,45,5,10,3,20,61,9,23,2,5,1,6685.11326,7197.7201,5,28
5/11/17,3,2,13,36,3,7,2,14,16,3,8,2,3,4,6951.44708,7437.5433,5,10
6/11/17,5,4,11,46,5,5,7,32,39,8,15,3,4,2,7149.12052,7377.0124,2,15
7/11/17,6,10,13,43,4,5,19,24,39,11,24,2,7,1,7213.87352,6989.0717,4,14
8/11/17,4,2,56,70,4,7,15,25,68,17,26,4,11,16,7218.69494,7092.1272,13,27
9/11/17,1,1,2,35,6,1,2,17,27,14,18,1,2,9,7262.32658,7415.8783,2,15
10/11/17,4,1,1,59,7,3,7,34,56,27,28,3,3,4,7206.42534,7158.0371,4,25
11/11/17,8,7,54,63,6,3,7,34,65,22,43,6,8,11,7074.90244,6719.3979,4,25
