Date,Value,5 day MA,Topic2,Topic6,Topic8,Topic9,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic54,Topic58,Topic66,Topic67,Topic69,Topic85
42995.00,3763.626,3904.45864,5,3,1,3,57,17,6,5,25,33,21,20,20,6,4,15
42996.00,3746.0608,3807.56584,5,2,13,8,57,4,2,9,24,51,4,24,28,13,8,22
42997.00,4093.3167,3712.97068,3,2,10,9,40,6,4,5,18,35,6,19,23,2,3,11
42998.00,3943.4133,3739.37976,6,1,6,7,28,7,3,1,36,49,5,12,17,6,5,13
42999.00,3977.5617,3864.13642,0,6,22,5,54,6,8,3,28,45,5,21,24,6,5,26
43000.00,3658.8982,3904.7957,3,9,6,8,74,8,12,8,51,62,13,22,31,6,8,31
43001.00,3637.5026,3883.85014,5,2,15,7,55,7,5,3,34,49,5,21,31,4,6,20
43002.00,3776.3869,3862.1385,4,6,29,12,49,7,1,5,17,33,20,9,26,3,7,14
43003.00,3703.0407,3798.75254,5,6,6,3,35,7,6,4,27,29,3,9,20,2,5,18
43004.00,3942.555,3750.67802,6,5,49,6,82,13,5,5,35,59,5,15,31,9,7,20
43005.00,3910.3074,3743.67668,4,3,26,10,46,6,3,9,28,45,3,14,24,4,1,22
43006.00,4202.555,3793.95852,0,8,11,6,66,6,7,13,37,49,12,19,29,1,11,14
43007.00,4201.9891,3906.969,0,4,19,5,69,7,5,7,11,41,9,13,27,1,10,16
43008.00,4193.5747,3992.08944,7,3,31,5,59,10,6,10,45,66,14,31,37,3,11,25
43009.00,4335.3683,4090.19624,1,3,25,5,35,7,3,0,23,28,3,16,14,6,3,9
43010.00,4360.723,4168.7589,6,4,36,7,63,4,6,2,33,63,3,10,27,7,12,20
43011.00,4386.8838,4258.84202,2,6,7,2,37,2,5,13,14,42,5,12,11,8,5,18
43012.00,4293.3066,4295.70778,3,5,9,11,63,5,5,7,48,40,10,21,32,3,6,23
43013.00,4225.175,4313.97128,5,2,9,3,50,2,6,3,40,66,2,8,19,4,8,18
43014.00,4338.852,4320.29134,4,4,10,4,26,7,4,10,27,30,7,12,23,3,6,11
43015.00,4345.6033,4320.98808,3,2,2,1,32,2,2,3,12,22,5,6,12,3,2,11
43016.00,4376.1917,4317.96414,2,2,4,3,43,3,1,0,13,31,6,8,12,1,8,12
43017.00,4602.2809,4315.82572,4,8,46,8,55,5,3,3,27,46,5,21,20,6,9,21
43018.00,4777.9678,4377.62058,2,3,27,6,61,9,11,2,35,50,14,21,25,4,10,25
43019.00,4782.28,4488.17914,3,2,36,4,35,2,4,8,19,26,4,9,12,0,11,15
43020.00,4819.4858,4576.86474,2,1,17,5,36,4,6,1,23,20,3,2,16,7,5,20
43021.00,5325.1307,4671.64124,4,1,16,7,39,1,7,2,18,42,6,9,11,1,3,14
43022.00,5563.8066,4861.42904,6,5,31,9,45,5,3,3,20,37,3,10,21,2,4,17
43023.00,5739.4387,5053.73418,1,7,32,4,45,2,5,7,24,33,4,10,15,2,5,18
43024.00,5647.3117,5246.02836,0,3,8,4,27,1,4,3,24,31,6,6,15,2,4,19
43025.00,5711.2059,5419.0347,7,5,17,1,37,4,4,6,16,32,10,8,18,2,5,10
43026.00,5603.7129,5597.37872,3,3,20,6,40,8,2,5,51,51,4,14,20,4,5,25
43027.00,5546.1761,5653.09516,3,8,2,10,50,5,5,33,26,44,5,16,21,6,8,21
43028.00,5727.6335,5649.56906,18,11,43,9,84,8,9,11,47,83,10,22,30,7,5,35
43029.00,5979.4598,5647.20802,7,5,54,9,62,5,2,6,25,51,2,14,26,4,5,28
43030.00,6020.3717,5713.63764,5,1,18,3,32,4,1,2,14,35,5,6,9,1,5,17
43031.00,5983.1846,5775.4708,5,3,1,8,38,13,4,2,22,37,3,11,15,2,1,20
43032.00,5876.0799,5851.36514,7,8,2,10,55,1,3,6,50,55,4,15,32,4,3,24
43033.00,5505.8278,5917.3459,2,4,1,4,59,9,5,10,38,31,10,14,19,7,4,15
43034.00,5669.6225,5872.98476,1,3,8,0,35,3,4,3,22,27,4,10,12,0,4,10
43035.00,5893.1384,5811.0173,7,3,7,2,31,8,1,3,17,18,5,10,6,1,0,12
43036.00,5772.505,5785.57064,6,2,2,7,33,1,1,7,33,41,3,13,14,3,5,13
43037.00,5776.697,5743.43472,2,0,6,2,26,3,4,1,8,18,2,4,6,0,1,6
43038.00,6155.434,5723.55814,1,4,2,1,13,0,2,2,12,15,1,9,9,3,0,13
43039.00,6105.8742,5853.47938,3,3,19,6,58,10,1,5,17,46,3,15,14,7,2,22
43040.00,6388.6452,5940.72972,0,0,9,2,27,8,4,2,11,19,3,6,13,0,4,12
43041.00,6665.3067,6039.83108,3,7,105,10,103,10,7,7,58,84,32,34,33,7,8,41
43042.00,7068.0201,6218.39142,9,8,78,4,81,3,4,4,34,76,8,21,33,3,6,38
43043.00,7197.7201,6476.65604,3,2,24,1,45,5,10,3,20,61,5,9,23,2,5,28
43044.00,7437.5433,6685.11326,3,2,13,4,36,3,7,2,14,16,5,3,8,2,3,10
